term,pattern,year,total_count,n_reports,total_words,total_instruments,per_10000_words,count_per_report,count_per_instrument
recruitment,\brecruitment\b,1958,4,2,25521,,1.5673367031072452,2.0,
recruitment,\brecruitment\b,1959,25,3,30307,,8.248919391559706,8.333333333333334,
recruitment,\brecruitment\b,1960,7,3,12383,,5.6529112492933855,2.3333333333333335,
recruitment,\brecruitment\b,1961,14,3,10540,,13.282732447817837,4.666666666666667,
recruitment,\brecruitment\b,1962,1,1,5189,,1.927153594141453,1.0,
recruitment,\brecruitment\b,1963,0,1,6591,,0.0,0.0,
recruitment,\brecruitment\b,1964,9,1,4546,,19.79762428508579,9.0,
recruitment,\brecruitment\b,1965,6,1,10682,,5.616925669350309,6.0,
recruitment,\brecruitment\b,1966,11,2,13385,,8.218154650728428,5.5,
recruitment,\brecruitment\b,1967,14,1,15256,,9.176717357105401,14.0,
recruitment,\brecruitment\b,1968,54,3,33093,,16.317650258362796,18.0,
recruitment,\brecruitment\b,1970,277,4,108326,,25.570961726639954,69.25,
recruitment,\brecruitment\b,1971,18,2,29235,,6.157003591585428,9.0,
recruitment,\brecruitment\b,1972,193,3,80698,,23.916330020570523,64.33333333333333,
recruitment,\brecruitment\b,1973,163,4,99305,,16.414077840994914,40.75,
recruitment,\brecruitment\b,1974,571,6,212499,,26.87071468571617,95.16666666666667,
recruitment,\brecruitment\b,1975,88,2,43656,,20.157595748579805,44.0,
recruitment,\brecruitment\b,1976,75,3,100433,,7.467665010504515,25.0,
recruitment,\brecruitment\b,1977,89,5,120485,,7.386811636303274,17.8,
recruitment,\brecruitment\b,1978,277,9,200366,,13.824700797540501,30.77777777777778,
recruitment,\brecruitment\b,1979,198,6,91530,,21.632251720747295,33.0,
recruitment,\brecruitment\b,1980,114,4,58326,,19.545314268079416,28.5,
recruitment,\brecruitment\b,1981,225,6,122860,,18.313527592381572,37.5,
recruitment,\brecruitment\b,1982,528,4,116162,,45.4537628484358,132.0,
recruitment,\brecruitment\b,1983,634,8,298647,,21.229076468204937,79.25,
recruitment,\brecruitment\b,1984,130,4,74814,,17.376426871975834,32.5,
recruitment,\brecruitment\b,1985,118,4,64983,,18.158595324931134,29.5,
recruitment,\brecruitment\b,1986,52,7,124754,,4.168203023550347,7.428571428571429,
recruitment,\brecruitment\b,1987,31,5,48861,,6.344528355948507,6.2,
recruitment,\brecruitment\b,1988,5,3,27924,,1.7905744162727402,1.6666666666666667,
recruitment,\brecruitment\b,1989,18,5,39439,,4.564010243667436,3.6,
recruitment,\brecruitment\b,1990,0,1,11235,,0.0,0.0,
recruitment,\brecruitment\b,1991,22,3,23047,,9.545710938516944,7.333333333333333,
recruitment,\brecruitment\b,1992,100,4,44383,,22.5311493139265,25.0,
